NOM;TYPE;ADRESSE;CP;COMMUNE;CODE_INSEE;TEL;CAPACITE;ACCUEIL TEMP;SUPERPOSITION;geo_shape;geo_point_2d
FAM Perce-Neige;Foyer d'accueil médicalisé;3 PASSAGE THUILLIER;92400;COURBEVOIE;92026;01.47.68.30.10;27;0;NON;"{""coordinates"": [2.2546608584721413, 48.90090342579712], ""type"": ""Point""}";48.90090342579712, 2.2546608584721413
Foyer de vie Jean Jaurès;Foyer de vie;19 BIS RUE JEAN JAURES;92230;GENNEVILLIERS;92036;01.47.21.40.17;25;0;NON;"{""coordinates"": [2.2949038872049, 48.93171112541918], ""type"": ""Point""}";48.93171112541918, 2.2949038872049
FAM Villebois-Mareuil;Foyer d'accueil médicalisé;62 RUE VILLEBOIS MAREUIL;92230;GENNEVILLIERS;92036;01.41.47.20.95;32;0;NON;"{""coordinates"": [2.3011646312148453, 48.93481376128417], ""type"": ""Point""}";48.93481376128417, 2.3011646312148453
Foyer de vie Bord de Seine;Foyer de vie;5-11 RUE DE VAUGIRARD;92190;MEUDON;92048;01.46.26.63.28;30;1;NON;"{""coordinates"": [2.2425799652907257, 48.81975371961396], ""type"": ""Point""}";48.81975371961396, 2.2425799652907257
Foyer d'hébergement Les Lampes/Fleury;Foyer d'hébergement;9-11 RUE DES LAMPES;92190;MEUDON;92048;01.45.07.88.66;49;0;NON;"{""coordinates"": [2.2457458051693675, 48.815494475790416], ""type"": ""Point""}";48.815494475790416, 2.2457458051693675
Foyer de vie Simon de Cyrène;Foyer de vie;18 AVENUE DU GENERAL DE GAULLE;92170;VANVES;92075;01.82.83.27.26;17;0;NON;"{""coordinates"": [2.2820886967057747, 48.8222954551623], ""type"": ""Point""}";48.8222954551623, 2.2820886967057747
Foyer d'hébergement ESAT;Foyer d'hébergement;22 AVENUE DE LA PROVIDENCE;92160;ANTONY;92002;01.42.37.06.60;41;0;NON;"{""coordinates"": [2.303637287522861, 48.75645792551453], ""type"": ""Point""}";48.75645792551453, 2.303637287522861
Foyer de vie Jean Barberi;Foyer de vie;9 BIS RUE JEAN JACQUES ROUSSEAU;92600;ASNIERES-SUR-SEINE;92004;01.41.11.80.40;15;0;NON;"{""coordinates"": [2.282854569799483, 48.908149239837684], ""type"": ""Point""}";48.908149239837684, 2.282854569799483
SAVS Espérance Hauts de Seine;Service d'accompagnement au domicile;1 RUE DE L EGALITE;92220;BAGNEUX;92007;01.41.24.21.10;52;0;NON;"{""coordinates"": [2.3073709946584153, 48.80063699903045], ""type"": ""Point""}";48.80063699903045, 2.3073709946584153
SAVS Les Robinsons;Service d'accompagnement au domicile;7 SQUARE DES ROBINSONS;92330;SCEAUX;92071;01.43.50.92.92;40;0;OUI;"{""coordinates"": [2.2825605528865722, 48.779418005092104], ""type"": ""Point""}";48.779418005092104, 2.2825605528865722
Foyer d'hébergement Puits sans vin;Foyer d'hébergement;6 RUE ANATOLE FRANCE;92370;CHAVILLE;92022;01.47.50.29.70;46;2;OUI;"{""coordinates"": [2.187625728459367, 48.80815779225622], ""type"": ""Point""}";48.80815779225622, 2.187625728459367
Foyer d'hébergement La Maison Heureuse;Foyer d'hébergement;78 AVENUE DE LA DIVISION LECLERC;92290;CHATENAY-MALABRY;92019;01.55 52.10.44;34;1;NON;"{""coordinates"": [2.2844894256483177, 48.76230758840785], ""type"": ""Point""}";48.76230758840785, 2.2844894256483177
FAM Le Cèdre bleu;Foyer d'accueil médicalisé;26-28 RUE DU PERE KOMITAS;92370;CHAVILLE;92022;01.41.15.81.90;37;0;OUI;"{""coordinates"": [2.184340183445574, 48.80907890258482], ""type"": ""Point""}";48.80907890258482, 2.184340183445574
SAVS La maison aux lierres;Service d'accompagnement au domicile;6 RUE ANATOLE FRANCE;92370;CHAVILLE;92022;01.47.50.29.70;40;0;OUI;"{""coordinates"": [2.187625728459367, 48.80815779225622], ""type"": ""Point""}";48.80815779225622, 2.187625728459367
FAM Perce-Neige;Foyer d'accueil médicalisé;18 RUE MENELOTTE;92700;COLOMBES;92025;01.41.19.29.40;22;0;OUI;"{""coordinates"": [2.2591056834236016, 48.92577214497434], ""type"": ""Point""}";48.92577214497434, 2.2591056834236016
CAJ Michelle Darty;Accueil de jour;42-46 RUE JEAN JACQUES ROUSSEAU;92130;ISSY-LES-MOULINEAUX;92040;01.46.48.85.85;5;0;OUI;"{""coordinates"": [2.2547478918217294, 48.82218168280389], ""type"": ""Point""}";48.82218168280389, 2.2547478918217294
Foyer de vie Darty;Foyer de vie;53 RUE GAMBETTA;92240;MALAKOFF;92046;01.46.56.46.10;39;0;OUI;"{""coordinates"": [2.3094675490142254, 48.821298670694176], ""type"": ""Point""}";48.821298670694176, 2.3094675490142254
FAM externat de Billancourt;Accueil de jour;47-49 RUE MARCEL BONTEMPS;92100;BOULOGNE-BILLANCOURT;92012;01.41.10.08.90;4;0;OUI;"{""coordinates"": [2.2394564333304396, 48.82648019382834], ""type"": ""Point""}";48.82648019382834, 2.2394564333304396
FAM externat Maison Perce-Neige Alternat/Alternance;Accueil de jour;37 RUE ALFRED DE MUSSET;92160;ANTONY;92002;01.46.11.40.60;2;0;OUI;"{""coordinates"": [2.3102542411519082, 48.745506355209784], ""type"": ""Point""}";48.745506355209784, 2.3102542411519082
FAM externat Cité Jacques Descamps;Accueil de jour;4-6 RUE PABLO NERUDA;92220;BAGNEUX;92007;01.41.17.48.70;6;0;OUI;"{""coordinates"": [2.3033683733968107, 48.79442212568692], ""type"": ""Point""}";48.79442212568692, 2.3033683733968107
SAMSAH Hovia Colombes;Service d'accompagnement au domicile;2 RUE DANIEL BALAVOINE;92700;COLOMBES;92025;01.82.62.24.00;15;0;NON;"{""coordinates"": [2.227157277467506, 48.91913468172361], ""type"": ""Point""}";48.91913468172361, 2.227157277467506
