id;Académie;title;short_desc;lat;lon;zone;infos;services;contact;address;mail;phone;openingHours;internetUrl;appointmentUrl;virtualVisitUrl;crousAndGoUrl;albumUrl;bookingUrl;troubleshootingUrl;house_services;images;coord_gps;services_residence
1130;Paris;Résidence Grands Moulins;Résidence située à proximité de la Bibliothèque François Mitterrand dans le 13e arrondissement, toutes commodités à proximité.;48.8275985718;2.3764400482;Paris 13;"<p><img src=""http://www.crous-paris.fr/wp-content/uploads/sites/26/2016/01/Grands-Moulins.jpg"" alt=""RESIDENCE GRANDS-MOULINS"" width=""90%"" /></p>
<div class=""Titre1 TexteNorm11VertB""><strong>Adresse de la résidence :</strong></div>
<ul>
<li>54-56 rue des Grands Moulins <br /> 75013 Paris</li>
</ul>
<div class=""Titre1 TexteNorm11VertB""><strong>Accès :</strong></div>
<ul>
<li><strong>Métro :</strong> Bibliothèque François Mitterrand (14)</li>
<li><strong>RER :</strong> Bibliothèque François Mitterrand</li>
</ul>
<div class=""Titre TexteTitre12VertB""> </div>
<div class=""Titre TexteTitre12VertB""><strong>Type de logement :</strong></div>
<div class=""Chapitre1""> </div>
<div class=""Chapitre1"">
<p>Résidence située à proximité de la Bibliothèque François Mitterrand dans le 13e arrondissement, toutes commodités à proximité.</p>
<p> </p>
<p><strong>Description et tarifs* :</strong></p>
<ul>
<li>T1 20m² - entre 416,85€ et 446,77€</li>
</ul>
<p>avec Kitchenette, Sanitaires, Prises TV/téléphone, accès Internet (Connexion WIFI) compris dans le loyer indiqué. Electricité à la charge de l'étudiant.</p>
<p>avec Contrôle d'accès - Local à vélos - Salle de convivialité -  Accès personnes en situation de handicap</p>
</div>
<div class=""Chapitre1""> </div>
<div class=""Chapitre1"">
<div class=""Chapitre1""> </div>
<div class=""Chapitre1""><em>*<span data-olk-copy-source=""MessageBody""> Tarifs applicables sur l'année universitaire en cours. Ces tarifs, incluant les charges locatives, sont révisables.</span></em></div>
</div>";"Contrôle d'accès
Parking payant
Local à vélos
Accès personnes en situation de handicap
Accès Internet
Salle de réunion
Ascenseur
Résidence située à la lisière de la ZAC Rive Gauche";"<p><![CDATA[</p>
<div class=""EncartVert"">
<p class=""Encart""><span class=""TexteNorm11BlancB""><strong>Résidence Grands-Moulins</strong></span></p>
<div class=""Encart""><strong>Accueil et renseignements </strong><br />Résidence Chevaleret<br />81bis, rue du Chevaleret <br />75013 Paris </div>
<div class=""Encart""><br /><strong>Horaires :</strong><br />9h à 12h30<br />13h30 à 16h</div>
<div class=""Encart""> </div>
<div class=""Encart""><strong><span class=""TexteNorm11BlancB"">Contact :</span></strong><br />chevaleret@crous-paris.fr</div>
</div>";54-56 rue des Grands Moulins 75013 Paris;chevaleret@crous-paris.fr;;<p>9h à 12h30<br />13h30 à 16h</p>;https://www.crous-paris.fr/;https://www.crous-paris.fr/;;;;https://www.crous-paris.fr/logements/demander-logement-crous/;https://www.crous-paris.fr/;"{""house_service"": [""Accessible PMR"", ""Ascenseur"", ""Garage à vélos"", ""Station réparation vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Surveillance / Sécurité"", ""Interphone""]}";"{""url"": [""https://admin-v2.crous-mobile.fr//media/house/20250602_d83384d_CROUSPARIS_Residence_Goutte d’or _Facade (1).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_a4e956c_CROUSPARIS_Residence_ Grands Moulin _Logement (1).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_a02dc44_CROUSPARIS_Residence_ Grands Moulin _Logement (2).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_a8c54ab_CROUSPARIS_Residence_ Grands Moulin _Logement (3).jpg""]}";48.8275985718, 2.3764400482;<ul><li>Accessible PMR</li><li>Ascenseur</li><li>Garage à vélos</li><li>Station réparation vélos</li><li>Internet</li><li>Wifi</li><li>Laverie</li><li>Salle de détente</li><li>Salle de travail</li><li>Surveillance</li><li>Sécurité</li><li>Interphone</li></ul>
1147;Paris;Résidence Bessières;;48.8973007202;2.3259100914;Paris 17;"<p><img src=""http://www.crous-paris.fr/wp-content/uploads/sites/26/2016/01/BessiSires-DC.jpg"" alt=""RESIDENCE BESSIERES"" width=""90%"" /></p>
<div class=""Titre1 TexteNorm11VertB""><strong>Adresse de la résidence :</strong></div>
<ul>
<li>27 boulevard Bessières <br /> 75017 Paris</li>
</ul>
<p> </p>
<div class=""Titre1 TexteNorm11VertB""><strong>Accès :</strong></div>
<ul>
<li><strong>Métro :</strong> Porte de Saint-Ouen</li>
<li><strong>Tramway :</strong> T3b</li>
</ul>
<p><br /><br /></p>
<div class=""Titre TexteTitre12VertB""><strong>Type de logement : </strong></div>
<div class=""Titre TexteTitre12VertB""> </div>
<div class=""Titre TexteTitre12VertB"">
<p>Résidence située au nord du 17e arrondissement, à proximité immédiate du tramway T3b et de ses commodités : commerces de proximité, restaurants...</p>
<p>Résidence fortement demandée, pensez à opter pour un vœu de substitution pour augmenter vos chances d'obtenir un logement sur Paris.</p>
<p> </p>
<p><strong>Description et tarifs* :</strong></p>
<p> </p>
<ul>
<li>T1 15 m² - 475,77 €</li>
</ul>
<p>avec Kitchenette, Sanitaires, Prises TV/téléphone, accès Internet (Connexion WIFI) compris dans le loyer indiqué.</p>
<p>avec Contrôle d'accès - Interphone - Local à vélos - Jardin ou cour</p>
<p>Accès personnes en situation de handicap.</p>
</div>
<div class=""Chapitre1""> </div>
<p><em>*<span data-olk-copy-source=""MessageBody""> Tarifs applicables sur l'année universitaire en cours. Ces tarifs, incluant les charges locatives, sont révisables.</span> </em></p>";"- Contrôle d'accès 
 - Local à vélos 
 - Accès Internet 
 - Un logement adapté aux personnes à mobilité réduite";"<p><![CDATA[</p>
<div class=""EncartVert"">
<p class=""Encart""><span class=""TexteNorm11BlancB""><strong>Résidence Bessières</strong></span></p>
<div class=""Encart""><span class=""TexteNorm11BlancB""><strong>Accueil et renseignements</strong><br /></span><span class=""TexteNorm11VertClairB"">Résidence Francis de Croisset </span><br /><span class=""TexteNorm11Blanc"">8, rue Francis de Croisset <br />75018 Paris<br /><br /></span></div>
<div class=""Encart""><span class=""TexteNorm11BlancB""><strong>Contact :</strong> </span><br /><span class=""TexteNorm11Blanc""><a href=""mailto:croisset@crous-paris.fr"">croisset@crous-paris.fr</a><br />01 40 51 37 43</span></div>
<div class=""Encart""> </div>
<div class=""Encart""><span class=""TexteNorm11Blanc""><strong>Horaires :</strong><br />Du lundi au vendredi <br />de 10h à 12h30 et de 14h à 17h. <br />Fermé le jeudi<br /></span></div>
</div>";27 boulevard Bessières 75017 Paris;croisset@crous-paris.fr;01 40 51 35 47;"<div class=""Encart""><strong>Accueil et renseignements <br /></strong>Résidence Francis de Croisset </div>
<div class=""Encart"">8, rue Francis de Croisset<br />75018 Paris</div>
<div class=""Encart""><br /><strong>Horaires : </strong><br />Du lundi au vendredi<br />de 10h à 12h30 et de 14h à 17h.<br />Fermé le jeudi</div>
<div class=""Encart""> </div>
<div class=""Encart""><strong>Contact</strong></div>
<div class=""Encart"">01 40 51 35 47 -  <a title=""mailto:croisset@crous-paris.fr"" href=""mailto:croisset@crous-paris.fr"" data-linkindex=""0"">croisset@crous-paris.fr</a></div>";https://www.crous-paris.fr/;https://www.crous-paris.fr/;;;;https://www.crous-paris.fr/logements/demander-logement-crous/;https://www.crous-paris.fr/;"{""house_service"": [""Accessible PMR"", ""Garage à vélos"", ""Internet / Wifi"", ""Kitchenette individuelle"", ""Interphone""]}";"{""url"": [""https://admin-v2.crous-mobile.fr//media/house/20250602_83fd278_CROUSPARIS_RésidenceCoret_facade  (2).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_c6ccd4c_CROUSPARIS_RésidenceBisson_intérieur (2).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_7a07570_CROUSPARIS_RésidenceCoret_intérieur (2).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_416adcb_CROUSPARIS_RésidenceCoret_intérieur (4).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_d2530ed_CROUSPARIS_RésidenceCoret_intérieur (5).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_97fd083_CROUSPARIS_RésidenceCoret_intérieur (1).jpg""]}";48.8973007202, 2.3259100914;<ul><li>Accessible PMR</li><li>Garage à vélos</li><li>Internet</li><li>Wifi</li><li>Kitchenette individuelle</li><li>Interphone</li></ul>
1213;Paris;Résidence Championnet 2;;48.8952186;2.35258;Paris 18;"<p><strong>Adresse de la résidence :</strong> </p>
<ul>
<li>2 rue Championnet <br /> 75018 Paris</li>
</ul>
<p> </p>
<p><strong>Accès :</strong></p>
<ul>
<li><strong>Métro :</strong> Simplon, Marcadet-Poissonniers</li>
<li><strong>Bus :</strong> 302</li>
</ul>
<p> </p>
<p> </p>
<p><strong>Type de logement :</strong></p>
<p> </p>
<p>Résidence située à coté de la butte de Montmartre dans le 18e arrondissement, toutes commodités à proximité.</p>
<p><strong>Description et tarifs* :</strong></p>
<ul>
<li>T1 18 - 408,67€</li>
<li>T1 20 m² - 435,40€</li>
</ul>
<p>Avec Kitchenette, Sanitaires, Prises TV/téléphone, accès Internet (Connexion WIFI) compris dans le loyer indiqué.</p>
<p>Avec Contrôle d'accès - Interphone - Local vélo - Jardin ou cour</p>
<p>Accès personnes en situation de handicap.</p>
<p> </p>
<p><em>*<span data-olk-copy-source=""MessageBody""> Tarifs applicables sur l'année universitaire en cours. Ces tarifs, incluant les charges locatives, sont révisables.</span> </em></p>";"Contrôle d’accès
Local à vélos
Accès Internet
Accès personnes en situation de handicap
1 ascenseur
1 salle de travail
Local tri sélectif";"<p><strong>Résidence Championnet 2</strong></p>
<p><strong>Accueil et renseignements :</strong><br /> Résidence Poissonniers<br /> 14-24 avenue de la Porte des Poissonniers<br /> 75018 Paris</p>
<p><strong>Contact :</strong> <br />poissonniers@crous-paris.fr<br /> 01 40 51 37 75<br />(secrétariat de la Résidence Poissonniers)</p>";2 rue Championnet 75018 Paris;poissonniers@crous-paris.fr;01 40 51 37 75;;https://www.crous-paris.fr/;https://www.crous-paris.fr/;;;;https://www.crous-paris.fr/logements/demander-logement-crous/;https://www.crous-paris.fr/;"{""house_service"": [""Accessible PMR"", ""Ascenseur"", ""Garage à vélos"", ""Internet / Wifi"", ""Salle de travail"", ""Surveillance / Sécurité"", ""Interphone""]}";"{""url"": [""https://admin-v2.crous-mobile.fr//media/house/20250602_0c4f981_CROUSPARIS_Résidencechampionnet_facade (1).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_cd679c9_CROUSPARIS_Résidencechampionnet_facade (3).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_89a931d_CROUSPARIS_Résidencechampionnet_intérieur (1).jpg""]}";48.8952186, 2.35258;<ul><li>Accessible PMR</li><li>Ascenseur</li><li>Garage à vélos</li><li>Internet</li><li>Wifi</li><li>Salle de travail</li><li>Surveillance</li><li>Sécurité</li><li>Interphone</li></ul>
389;Créteil;Résidence de Stains;;48.9559898376;2.3821880817;Saint-Denis;"<p><span style=""font-size: 10pt;"">Résidence de 190 logements située à proximité des commerces, des transports et de l'Université Paris 8.<br /></span></p>
<p><span style=""font-size: 10pt;""><strong>T1</strong> :16 à 18m² / 398€</span></p>
<p><span style=""font-size: 10pt;""><strong>T2</strong> : 48 à 60m² / 408€ par personne</span></p>
<p> </p>
<p><span style=""text-decoration: underline;""><span style=""font-size: 12pt;""><strong>Accès :</strong></span></span></p>
<ul>
<li>Bus : 356 (arrêt Aulnes)</li>
</ul>
<p> </p>";"Laverie
Connexion Internet
Salles d'étude";"<h4>Résidence de Stains</h4>
<p>Tél : 01.48.22.15.21<br />E-mail : <a href=""mailto:residence.saint-denis@crous-creteil.fr"">residences93-p8@crous-creteil.fr</a></p>";ZAC St Léger 38/42 rue du chemin St Léger 93240 Stains;residences93-p8@crous-creteil.fr;01 48 22 15 21;;https://www.crous-creteil.fr/;https://www.crous-creteil.fr/;;;;https://www.crous-creteil.fr/;https://www.crous-creteil.fr/;"{""house_service"": [""Parking"", ""Internet / Wifi"", ""Laverie"", ""Salle de travail"", ""Distribution protections périodiques""]}";;48.9559898376, 2.3821880817;<ul><li>Parking</li><li>Internet</li><li>Wifi</li><li>Laverie</li><li>Salle de travail</li><li>Distribution protections périodiques</li></ul>
205;Versailles;Résidence Vauban;Guyancourt;48.7796516418;2.0441513062;Yvelines;"<p><strong style=""color: #e20517;"">Description</strong></p>
<p>La résidence est située au cœur de l’université de Versailles Saint-Quentin-en-Yvelines, en plein centre-ville et à proximité du centre commercial.<br /><br /> Elle comprend 94 studios, 17 logements en colocation (duplex en colocation pour 2 garçons ou 2 filles) et de 4 appartements.<br /><br /></p>
<p><strong style=""color: #e20517;"">Équipements</strong><br /> Chaque logement dispose d'une kitchenette, d'une douche, d'un réfrigérateur et de toilettes.<br /><br /></p>
<p><strong style=""color: #e20517;"">Accès</strong><br />Gare : St-Quentin-en-Yvelines (RER C) <br /><br /></p>
<p><strong style=""color: #e20517;"">Tarif</strong><br /> De 315 € à 549 €, loyer toutes charges comprises (eau, chauffage, électricité et internet) </p>";"Laverie 
  Salles de travail 
  Salles de détente (avec télévision) 
  Wifi 
   Local vélos 
   Parking 
  Gardiennage 
  Vidéo-surveillance";"<h2>Résidence Vauban</h2>
<p>1, boulevard d’Alembert - 78 280 Guyancourt<br />Tél. : 01 80 73 04 00<br />Mél : <a href=""https://admin-v2.crous-mobile.fr/residence.vauban@crous-versailles.fr""> residence.vauban@crous-versailles.fr </a></p>
<p><strong>Accueil<br />À la plateforme située au 2, rue Pozzo di Borgo - 92 210 Saint-Cloud </strong><br />Du lundi au vendredi de 9h à 17h</p>";1, boulevard d’Alembert - 78 280 Guyancourt;residence.vauban@crous-versailles.fr;01 80 73 04 00;;https://www.crous-versailles.fr/;https://www.crous-versailles.fr/;;;;https://www.crous-versailles.fr/logements/1795-2/;https://www.crous-versailles.fr/;"{""house_service"": [""Parking"", ""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Salle TV"", ""Surveillance / Sécurité""]}";"{""url"": ""https://admin-v2.crous-mobile.fr//media/house/20230109_df6b212_VSQ-Vauban-int_Crous_Versailles.jpg""}";48.7796516418, 2.0441513062;<ul><li>Parking</li><li>Garage à vélos</li><li>Internet</li><li>Wifi</li><li>Laverie</li><li>Salle de détente</li><li>Salle de travail</li><li>Salle TV</li><li>Surveillance</li><li>Sécurité</li></ul>
213;Versailles;Résidence Louise Bourgeois;Antony;48.7365150452;2.2866821289;Hauts-de-Seine;"<p><strong style=""color: #e20517;"">Description</strong><br /> Résidence universitaire bordée par plusieurs parcs, située à proximité des commerces, de restaurants et de complexes sportifs.</p>
<p>Elle comprend 119 studios.</p>
<p> </p>
<p><strong style=""color: #e20517;"">Équipements</strong><br /> Chacun des studios dispose d’une kitchenette, d’une salle d’eau individuelle et d’un accès à internet (Wifirst).</p>
<p> </p>
<p><strong style=""color: #e20517;"">Accès</strong><br /> Gare : Les Baconnets (RER B)</p>
<p> </p>
<p><strong style=""color: #e20517;"">Tarifs</strong><br />De 458 € à 578 €, loyer toutes charges comprises (eau, EDF, chauffage et internet) </p>";"Salle de détente 
  Laverie 
  Local vélos 
  Wifi 
  Parking";"<h2>Résidence Louise Bourgeois</h2>
<p><strong>3, rue de l'Annapurna - 92 160 Antony</strong></p>
<p><strong>Tél. </strong>: <a href=""tel:0186671000"">01 86 67 10 00</a></p>
<p align=""LEFT""> </p>
<p align=""JUSTIFY""><strong>Mél :</strong> <a href=""mailto:residence.louise-bourgeois@crous-versailles.fr"">residence.louise-bourgeois@crous-versailles.fr</a></p>
<p> </p>
<p><strong>Accueil<br /></strong><br /><strong>À la plateforme d'Antony (résidence Jean-zay)</strong><br />Du lundi au vendredi de 8h à 16h30<br />55, avenue du Général de Gaulle - 92160 Antony CEDEX.</p>";3, rue de l'Annapurna - 92 160 Antony;residence.louise-bourgeois@crous-versailles.fr;01 86 67 10 00;;https://www.crous-versailles.fr/;https://www.crous-versailles.fr/;;;;https://www.crous-versailles.fr/logements/1795-2/;https://www.crous-versailles.fr/;"{""house_service"": [""Parking"", ""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail""]}";;48.7365150452, 2.2866821289;<ul><li>Parking</li><li>Garage à vélos</li><li>Internet</li><li>Wifi</li><li>Laverie</li><li>Salle de détente</li><li>Salle de travail</li></ul>
216;Versailles;Résidence Saints-Sauveurs;Fontenay-aux-Roses;48.7911109924;2.2972493172;Hauts-de-Seine;"<p><strong style=""color: #e20517;"">Description</strong><br /> Résidence universitaire située au cœur du centre-ville, bordée par des espaces verts et à proximité du campus et de l'IUT de Sceaux, de l'EPF et de l’université de Paris-Sud.</p>
<p>Elle comprend 203 T1 (de 14,5 m² à 24 m²) dont 3 sont accessibles aux personnes à mobilité réduite.</p>
<p><strong style=""color: #e20517;"">Équipements</strong><br /> Un code permet d’accéder à la résidence. Chacun des studios de type T1 dispose d’une kitchenette et d’une douche individuelle.</p>
<p><strong style=""color: #e20517;"">Accès<br /></strong>Gare : Fontenay-aux-Roses (RER B) Plusieurs lignes de bus desservent également la résidence.</p>
<p><strong style=""color: #e20517;"">Tarifs</strong><br /> de 342 € à 565 €, loyer toutes charges comprises (eau, EDF, chauffage et internet) </p>";"Salle de détente 
  Salles de travail (avec wifi) 
  Salle de réunion 
  Wifi 
  Laverie 
  Local vélos 
  Gardiennage 
  Vidéo-surveillance";"<h2>Résidence Saints-Sauveurs</h2>
<p><strong>15, rue des Saints-Sauveurs - 92 260 Fontenay-aux-Roses</strong></p>
<p>Tél. : 01 86 63 00 90</p>
<p>Mél : <a href=""https://admin-v2.crous-mobile.fr/residence.vauban@crous-versailles.fr""> residence.fontenay@crous-versailles.fr </a></p>
<p><br /><strong>Plateforme d’accueil à la résidence Olympe de Gouges Bat.B</strong><br />31 avenue Lombart 92260 Fontenay-aux-Roses<br />Résidences concernées : Les Bas Longchamps, Saints-Sauveurs et Olympe de Gouges<br />Lundi au vendredi : 8h-16h30</p>";15, rue des Saints-Sauveurs - 92 260 Fontenay-aux-Roses;residence.fontenay@crous-versailles.fr;01 86 63 00 90;;https://www.crous-versailles.fr/;https://www.crous-versailles.fr/;;;;https://www.crous-versailles.fr/logements/1795-2/;https://www.crous-versailles.fr/;"{""house_service"": [""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Surveillance / Sécurité""]}";;48.7911109924, 2.2972493172;<ul><li>Garage à vélos</li><li>Internet</li><li>Wifi</li><li>Laverie</li><li>Salle de détente</li><li>Salle de travail</li><li>Surveillance</li><li>Sécurité</li></ul>
227;Versailles;Résidence Le Bosquet;Les Ulis;48.6792793274;2.1664700508;Essonne;"<p><strong style=""color: #e20517;"">Description</strong><br /> Résidence universitaire située en plein centre-ville, à proximité du centre commercial Les Ulis 2 et à 20 minutes de l’université de Paris-Sud. Elle comprend 159 chambres traditionnelles.</p>
<p> </p>
<p><strong style=""color: #e20517;"">Équipements</strong><br /> Un code permet d’accéder à la résidence et au parking. Celle-ci est aménagée de différentes salles communes, de cuisine et d’autres fonctionnalités pratiques pour les résidents. Chacune des chambres dispose d’une connexion à Internet.<br /><br /></p>
<p><strong style=""color: #e20517;"">Accès</strong> <br />Gare : Orsay-ville (RER B)<br />Bus ligne 23 direction Centre commercial Ulis 2, arrêt Thomas<br /><br /></p>
<p><strong style=""color: #e20517;"">Tarif</strong><br />180 €, loyer toutes charges comprises (eau, EDF, chauffage et internet) </p>";"Salles de détente 
   Salles de travail 
  Laboratoire photos 
  Laverie 
  Parking 
 Wifi  
  Gardiennage 
  Vidéo-surveillance";"<h2>Résidence Le Bosquet</h2>
<p><strong>15, rue le Bosquet - 91 940 Les Ulis</strong></p>
<p>Téléphone : 01 69 07 68 96 / 06 42 28 96 70 </p>
<p><strong>Accueil<br /><br />À la résidence Le Bosquet :<br /></strong>Du lundi au vendredi de 14h à 16h</p>
<p><strong>À la plateforme de la résidence de l’Île :<br /></strong>14 rue du Docteur Collé, bâtiment 227 du campus, 91440 Bures-sur-Yvette<br />Mercredi: 8h30 à 16h30</p>";15, rue le Bosquet - 91 940 Les Ulis;Residence.ulis@crous-versailles.fr;01 69 07 68 96 / 06 42 28 96 70;;https://www.crous-versailles.fr/;https://www.crous-versailles.fr/;;;;;https://www.crous-versailles.fr/;"{""house_service"": [""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Surveillance / Sécurité""]}";;48.6792793274, 2.1664700508;<ul><li>Internet</li><li>Wifi</li><li>Laverie</li><li>Salle de détente</li><li>Salle de travail</li><li>Surveillance</li><li>Sécurité</li></ul>
230;Versailles;Résidence Olympe de Gouges;Fontenay;48.7897758484;2.2871809006;Hauts-de-Seine;"<p><strong style=""color: #e20517;"">Description</strong><br /> Résidence située au sein d’un quartier résidentiel calme, longée par des espaces verts et à proximité de commerces, de restaurants et des campus de Sceaux, de l'IUT de Sceaux, de Châtenay-Malabry, de l'EFP et de l’université de Paris-Sud.<br /> La résidence comprend 274 studios (de 16 à 25 m²) dont 58 sont accessibles aux personnes à mobilité réduite.</p>
<p><strong style=""color: #e20517;"">Équipements<br /></strong>Une carte magnétique permet d’accéder à la résidence. Chacun des studios dispose d’une kitchenette, d’une douche individuelle et d’un accès à Internet.</p>
<p><strong style=""color: #e20517;"">Accès</strong><br /> Gare : Fontenay-aux-Roses (RER B)<br /><strong style=""color: #e20517;""><br />Tarif<br /></strong>De 292 € à 575 €, loyer toutes charges comprises (eau, EDF, chauffage et internet) </p>";"Laverie 
  Salles de travail 
   Salle de réunion et de détente 
   Wifi 
   Local vélos 
  Gardiennage 
  Vidéo-surveillance";"<h2>Résidence Olympe de Gouges</h2>
<p>Bât B / 31, avenue Lombart - 92 260 Fontenay-aux-Roses</p>
<p>Tél. : 01 86 63 00 90 / 01 46 68 40 72</p>
<p>Mél : <a href=""https://admin-v2.crous-mobile.fr/residence.olympe-gouges@crous-versailles.fr""> residence.olympe-gouges@crous-versailles.fr<br /><br /></a><strong>Plateforme d’accueil à la résidence Olympe de Gouges Bat.B</strong><br />31 avenue Lombart 92260 Fontenay-aux-Roses<br />Résidences concernées : Les Bas Longchamps, Saints-Sauveurs et Olympe de Gouges<br />Lundi au vendredi : 8h-16h30</p>";31, avenue Lombart - 92 260 Fontenay-aux-Roses;residence.olympe-gouges@crous-versailles.fr;01 86 63 00 90;;https://www.crous-versailles.fr/;https://www.crous-versailles.fr/;;;;https://www.crous-versailles.fr/logements/1795-2/;https://www.crous-versailles.fr/;"{""house_service"": [""Garage à vélos"", ""Internet / Wifi"", ""Laverie"", ""Salle de détente"", ""Salle de travail"", ""Surveillance / Sécurité""]}";;48.7897758484, 2.2871809006;<ul><li>Garage à vélos</li><li>Internet</li><li>Wifi</li><li>Laverie</li><li>Salle de détente</li><li>Salle de travail</li><li>Surveillance</li><li>Sécurité</li></ul>
1115;Paris;Résidence les Carmes;Résidence hôtelière réservée aux personnels de l’enseignement supérieur;48.8500213623;2.3478899002;Paris 05;"<p><img src=""http://www.crous-paris.fr/wp-content/uploads/sites/26/2016/01/Carmes.jpg"" alt=""RESIDENCE CARMES"" width=""90%"" /></p>
<div class=""Titre1 TexteNorm11VertB""><strong>Adresse de la résidence :</strong></div>
<ul>
<li>3 rue des Carmes<br /> 75005 Paris</li>
</ul>
<p> </p>
<div class=""Titre1 TexteNorm11VertB""><strong>Accès :</strong></div>
<ul>
<li><strong>Métro :</strong> Maubert-Mutualité</li>
</ul>
<p><br /><br /></p>
<div class=""Titre TexteTitre12VertB""><strong>Type de logement :</strong></div>
<div class=""Titre TexteTitre12VertB""> </div>
<div class=""Titre TexteTitre12VertB"">Résidence hôtelière réservée aux personnels de l’enseignement supérieur hors d’Île-De-France souhaitant se loger quelques jours sur la capitale dans le cadre de leur activité.</div>
<div class=""Titre TexteTitre12VertB""> </div>
<div class=""Titre TexteTitre12VertB"">
<p>Un colloque, un séminaire sur Paris ? Vous êtes personnel de l’enseignement supérieur ?</p>
<p>Située en plein cœur de Paris, au centre du quartier latin, la résidence des Carmes vous propose des studettes de 11,5m², pour vos nuits sur la Capitale.</p>
<p>Vous y serez logés à proximité des grandes universités, de commerces, de restaurants et cafés parisiens. Son positionnement central très bien desservi par les transports vous permettra d’accéder très rapidement aux centres de conférences, ainsi qu’aux musées et monuments emblématiques de Paris et toute l’Île-de-France.</p>
</div>
<div class=""Titre TexteTitre12VertB""> </div>
<p> </p>";"Contrôle d’accès
Accueil jour
Accès Internet
Ascenseur
S’agissant d’un service hôtelier, le linge (lit et toilette) est fourni.";"<p><![CDATA[</p>
<div class=""EncartVert"">
<p class=""Encart""><strong>Résidence Carmes</strong></p>
<div class=""Encart""><span class=""TexteNorm11Blanc"">3 rue des Carmes<br />75005 Paris </span><br />
<div class=""Pointille""> </div>
<div class=""Pointille""> </div>
<div class=""Pointille""><strong>Contact :</strong><br />01 40 57 57 03  <br />carmes@crous-paris.fr</div>
</div>
</div>";3 rue des Carmes 75005 Paris;carmes@crous-paris.fr;01 40 57 57 03;;https://www.crous-paris.fr/;https://www.crous-paris.fr/;;;;https://www.crous-paris.fr/logements/demander-logement-crous/;https://www.crous-paris.fr/;"{""house_service"": [""Ascenseur"", ""Internet / Wifi"", ""Surveillance / Sécurité""]}";"{""url"": [""https://admin-v2.crous-mobile.fr//media/house/20240606_2d9ec5d_CROUSPARIS_Residence_ Carmes _logement  (7).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20240606_4979368_CROUSPARIS_Residence_ Carmes _logement  (23).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_f3c0fc5_CROUSPARIS_Residence_ Carmes _logement  (36).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_ed1c634_CROUSPARIS_Residence_ Carmes _logement  (22).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_0cc8492_CROUSPARIS_Residence_ Carmes _logement  (26).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_42bbe0e_CROUSPARIS_Residence_Carmes _facade.jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_7b48f56_CROUSPARIS_Residence_ Carmes _logement  (14).jpg"", ""https://admin-v2.crous-mobile.fr//media/house/20250602_3ca44e0_CROUSPARIS_Residence_ Carmes _logement  (12).jpg""]}";48.8500213623, 2.3478899002;<ul><li>Ascenseur</li><li>Internet</li><li>Wifi</li><li>Surveillance</li><li>Sécurité</li></ul>
