Geo Point;Geo Shape;insee;propri;loc_prive;loc_hlm;loge_grat;objectid;loc_meuble
48.3487428126, 2.56411763357;"{""coordinates"": [2.564117633568488, 48.3487428126281], ""type"": ""Point""}";77001;413.89970381;27.57038988;0;15.36549707;6;5.16440923
48.8432766256, 2.81653798016;"{""coordinates"": [2.816537980161528, 48.843276625580934], ""type"": ""Point""}";77018;1589.63961005;445.54724877;414.49079273;25.07678395;65;299.2455645
48.7736559886, 1.85178491669;"{""coordinates"": [1.851784916691507, 48.773655988632584], ""type"": ""Point""}";78050;211;19;0;8;79;0
48.6758272988, 2.04925351361;"{""coordinates"": [2.049253513605204, 48.67582729876507], ""type"": ""Point""}";91093;216;12;0;4;141;1
48.791668334, 2.33207260764;"{""coordinates"": [2.332072607638279, 48.79166833403954], ""type"": ""Point""}";94016;5193.59268319;2562.41172925;3775.43277254;296.52877473;188;1685.25253934
48.6674323989, 2.84517763944;"{""coordinates"": [2.845177639442819, 48.66743239892951], ""type"": ""Point""}";77107;925.05614473;245.50322312;43.20856727;69.72291537;239;7.85610314
48.5465125983, 2.27413649543;"{""coordinates"": [2.274136495426318, 48.546512598256506], ""type"": ""Point""}";91156;674;82;12;13;250;5
48.6784800114, 2.70759551096;"{""coordinates"": [2.707595510958823, 48.6784800114165], ""type"": ""Point""}";77127;448.48497046;132.32326831;58.58587452;17.17172184;301;14.14141799
48.813262489, 2.34420890761;"{""coordinates"": [2.344208907605359, 48.81326248897741], ""type"": ""Point""}";94037;2003.46006853;1853.43734633;3861.14068122;200.92895402;430;710.77541067
48.9146370096, 2.6281058322;"{""coordinates"": [2.628105832203211, 48.914637009637865], ""type"": ""Point""}";77363;454.61525779;92.41665405;23.3375389;14.00252334;589;5.60100934
48.8804751489, 2.10912151612;"{""coordinates"": [2.109121516121333, 48.880475148940825], ""type"": ""Point""}";78502;1082;547;531;33;600;175
48.9972809176, 1.51664493758;"{""coordinates"": [1.516644937584608, 48.99728091761337], ""type"": ""Point""}";78344;219.69060889;10.18600615;0;5.07232784;648;1.05105712
49.0422035493, 2.50396294014;"{""coordinates"": [2.503962940142343, 49.042203549271505], ""type"": ""Point""}";95351;2304;616;650;93;659;72
48.5715412568, 3.38915630002;"{""coordinates"": [3.389156300016646, 48.571541256849365], ""type"": ""Point""}";77246;186.78310408;22.1551008;0;7.04600234;664;2.01579278
48.5550615534, 3.15166039738;"{""coordinates"": [3.151660397378279, 48.55506155338916], ""type"": ""Point""}";77272;277.36426914;25.49303944;16.31554524;2.03944316;674;4.07888631
49.0700635439, 3.02485993335;"{""coordinates"": [3.024859933350256, 49.07006354393169], ""type"": ""Point""}";77283;264.97719921;35.05192533;1.05595274;7.91492272;714;0
48.9172574114, 2.13995747439;"{""coordinates"": [2.139957474389879, 48.91725741138551], ""type"": ""Point""}";78418;3847.05147262;1007.3496091;794.39926046;91.40697645;753;72.11378417
48.3813118129, 3.25005590942;"{""coordinates"": [3.250055909422964, 48.3813118128577], ""type"": ""Point""}";77310;117.43934426;6.90819672;0;0.98688525;762;0
48.8561656176, 2.31220550246;"{""coordinates"": [2.312205502464301, 48.85616561758724], ""type"": ""Point""}";75107;11035.391072;9935.6822161;315.01890477;2820.03103343;1001;3458.88123189
48.9656373106, 2.43506462892;"{""coordinates"": [2.435064628924461, 48.965637310604095], ""type"": ""Point""}";95088;276.72535298;103.16655111;9.45523624;4.13053281;132;10.52232686
48.8923569276, 1.57684612281;"{""coordinates"": [1.576846122810594, 48.89235692760677], ""type"": ""Point""}";78237;57;0;0;1;381;1
49.0152397587, 1.64189177675;"{""coordinates"": [1.64189177674607, 49.01523975869], ""type"": ""Point""}";78290;364.70083877;61.62534949;0;6.06150979;464;2.02050326
48.878588273, 3.24756042981;"{""coordinates"": [3.247560429813855, 48.87858827301084], ""type"": ""Point""}";77472;164.42751083;14.23918794;0;5.02519113;561;1.05760094
48.7213469744, 1.81643844773;"{""coordinates"": [1.816438447733032, 48.721346974374164], ""type"": ""Point""}";78108;409.82351996;78.15239218;0;19.06155907;611;15.24924725
49.0511798648, 1.64992618757;"{""coordinates"": [1.649926187569586, 49.05117986482852], ""type"": ""Point""}";78437;236.03829161;30.13254786;0;7.03092784;788;3.01325479
48.923446131, 2.02739305759;"{""coordinates"": [2.02739305758961, 48.923446130976465], ""type"": ""Point""}";78498;6927.04981807;3344.14877279;5332.58025512;250.49692083;890;283.54706533
48.6535432087, 1.82640821784;"{""coordinates"": [1.826408217835646, 48.65354320872071], ""type"": ""Point""}";78517;6584.87970089;2941.79244425;2135.54615535;314.45181628;920;213.68450319
48.940498035, 1.68294919463;"{""coordinates"": [1.682949194631528, 48.940498035032924], ""type"": ""Point""}";78647;301;36;0;2;1175;0
49.0801136898, 1.93011372158;"{""coordinates"": [1.930113721583886, 49.08011368975103], ""type"": ""Point""}";95658;333.76926962;43.67895998;14.2439178;17.2175321;1187;4.09032051
48.7297157648, 2.32955872017;"{""coordinates"": [2.32955872016617, 48.72971576475307], ""type"": ""Point""}";91689;2230.68868282;740.42107924;187.46163109;61.78902924;1257;40.8435956
48.3432860228, 2.19112190497;"{""coordinates"": [2.191121904974573, 48.34328602279802], ""type"": ""Point""}";91001;101.93518519;7.48148148;0;2.80555556;1;0
48.7092723984, 2.38671700278;"{""coordinates"": [2.386717002777714, 48.709272398362806], ""type"": ""Point""}";91027;5853.04842687;2917.05118994;4313.32299637;199.99664586;38;251.14833535
48.9232447386, 3.28210198333;"{""coordinates"": [3.282101983328179, 48.92324473857008], ""type"": ""Point""}";77024;111.03448276;28;0;0.96551724;74;0.96551724
48.3241000587, 2.25845544888;"{""coordinates"": [2.258455448880475, 48.32410005873547], ""type"": ""Point""}";91067;43;2;0;0;99;1
48.8963798772, 2.15357035159;"{""coordinates"": [2.153570351586002, 48.89637987722552], ""type"": ""Point""}";78146;7757.22252427;3052.08739332;1518.52374854;316.67997413;234;197.8630433
49.0167521315, 1.53097096043;"{""coordinates"": [1.530970960427969, 49.01675213148699], ""type"": ""Point""}";78668;216.75452467;23.1927023;0;6.05277303;564;0
49.0460622716, 2.33739676701;"{""coordinates"": [2.33739676701422, 49.046062271576496], ""type"": ""Point""}";95409;384.29720992;121.57391628;5.15143713;12.36344911;735;1.03028743
48.9759621197, 1.76827747304;"{""coordinates"": [1.768277473039824, 48.975962119676744], ""type"": ""Point""}";78501;840.81557524;119.82445974;76.23551858;45.52770852;898;10.59673777
48.5727159415, 1.93420500172;"{""coordinates"": [1.934205001717013, 48.5727159414999], ""type"": ""Point""}";78537;1871.9590036;406.58867002;124.86606364;89.77973171;955;22.70292066
48.845655951, 2.78710599746;"{""coordinates"": [2.787105997455092, 48.845655950982916], ""type"": ""Point""}";77449;1490.5460046;1178.54851415;485.11208549;71.39754484;1087;521.58578268
48.446602472, 2.89264158776;"{""coordinates"": [2.892641587763852, 48.44660247195681], ""type"": ""Point""}";77480;227;53;23;3;1145;2
48.9650938012, 1.97455932712;"{""coordinates"": [1.974559327123862, 48.96509380120954], ""type"": ""Point""}";78643;2206.16183407;332.49165099;871.81962071;53.30798888;1172;39.21890522
48.7208421393, 2.53133895149;"{""coordinates"": [2.531338951494934, 48.720842139317476], ""type"": ""Point""}";94075;2915.41296667;542.87610832;402.0648502;92.10296128;1196;29.2249781
48.7290613121, 2.12199498074;"{""coordinates"": [2.12199498074347, 48.729061312120145], ""type"": ""Point""}";91679;371.38233816;88.34086201;25.97503416;6.02623724;1230;8.0836256
49.140800755, 2.37951183682;"{""coordinates"": [2.379511836818522, 49.1408007549513], ""type"": ""Point""}";95026;879.51922156;116.33170153;30.7771125;27.25413339;36;5.11783102
48.9925460958, 1.81101840936;"{""coordinates"": [1.811018409355622, 48.992546095803874], ""type"": ""Point""}";78267;2096.96906395;464.4536929;246.22719412;47.79629875;424;14.55375027
48.8951431655, 1.74668663974;"{""coordinates"": [1.746686639742802, 48.89514316552398], ""type"": ""Point""}";78300;147.66216216;16.07207207;0;0;478;0
48.4548047486, 2.97584596662;"{""coordinates"": [2.97584596661887, 48.45480474858687], ""type"": ""Point""}";77245;172.64390244;12.0195122;0;2.18536585;571;0
48.7303631984, 3.26810037103;"{""coordinates"": [3.268100371034095, 48.73036319843402], ""type"": ""Point""}";77250;53.32515338;8.04907975;0;0;629;1.00613497
48.4608587341, 3.18610540583;"{""coordinates"": [3.186105405834341, 48.460858734122], ""type"": ""Point""}";77263;81.33471074;3.01239669;0;3.01239669;660;0
48.5642426297, 2.74044245666;"{""coordinates"": [2.740442456663646, 48.564242629745195], ""type"": ""Point""}";77295;462.82611938;43.12499686;1.00983784;10.0195103;734;6.01953556
48.3475710834, 2.03720860003;"{""coordinates"": [2.037208600033066, 48.34757108340802], ""type"": ""Point""}";91414;129;24;0;1;741;1
49.0255965767, 1.84626329336;"{""coordinates"": [1.8462632933586, 49.02559657666102], ""type"": ""Point""}";78460;381;52;7;6;843;1
48.6061361006, 2.21884550676;"{""coordinates"": [2.218845506757958, 48.60613610061605], ""type"": ""Point""}";91461;1291.83954061;179.97764498;121.98484826;32.99590158;845;8.99888225
48.4452722159, 2.00296416199;"{""coordinates"": [2.00296416199306, 48.44527221589344], ""type"": ""Point""}";91495;102.72352526;7.17479219;0;4.10168255;886;0
48.8179059959, 3.00647413667;"{""coordinates"": [3.006474136672917, 48.817905995942226], ""type"": ""Point""}";77371;917.6926047;107.44668611;55.24277918;17.07346625;892;8.03268499
48.8247867565, 1.63473510674;"{""coordinates"": [1.634735106737165, 48.82478675649262], ""type"": ""Point""}";78520;388.15761243;35.91250042;5.00382468;13.9274137;928;1.99864876
49.2132467067, 1.7030093697;"{""coordinates"": [1.703009369697802, 49.21324670670489], ""type"": ""Point""}";95541;209.39611323;59.25810244;47.49653787;6.98847079;962;0.99835297
49.1671339887, 1.76193259634;"{""coordinates"": [1.761932596337883, 49.167133988679], ""type"": ""Point""}";95554;330.625;33.88392857;4.10714286;8.21428571;984;1.02678571
48.8925725378, 2.34824520171;"{""coordinates"": [2.348245201709701, 48.89257253783336], ""type"": ""Point""}";75118;34145.4395982;38238.1274913;17454.9149719;3644.17120167;990;11379.9795176
48.8491022183, 2.33288794826;"{""coordinates"": [2.332887948262914, 48.84910221832293], ""type"": ""Point""}";75106;9034.81927229;7940.59148185;529.67310103;2035.50882957;1003;3156.65219963
48.4939389969, 3.03078291112;"{""coordinates"": [3.030782911115831, 48.49393899685185], ""type"": ""Point""}";77509;211.6952224;29.09555189;0;5.01647446;1210;2.00658979
48.6818000753, 3.01796171855;"{""coordinates"": [3.017961718554786, 48.68180007529957], ""type"": ""Point""}";77527;211.09565217;12.4173913;0;3.10434783;1246;0
